52,1,"1900-01-01 00:00:00","2199-12-31 23:59:59",19600001,285996,138,"2200020100073","1612817000183"
53,1,"1900-01-01 00:00:00","2199-12-31 23:59:59",24170005,286115,166,"2200020100187","4502571000185"
54,1,"1900-01-01 00:00:00","2199-12-31 23:59:59",24490015,286188,167,"5500020100031","8993917000146"
55,1,"1900-01-01 00:00:00","2199-12-31 23:59:59",16920024,286362,170,"5500020100030","10264406000135"
56,1,"1900-01-01 00:00:00","2199-12-31 23:59:59",35420005,286397,172,"4900020100023","12356879000198"
57,1,"1900-01-01 00:00:00","2199-12-31 23:59:59",24300013,286948,11,"5500020100031","24851511000185"
58,1,"1900-01-01 00:00:00","2199-12-31 23:59:59",24300013,287015,11,"5500020100031","37420932000101"
59,1,"1900-01-01 00:00:00","2199-12-31 23:59:59",24250001,287038,133,"5500020100030","4059671000189"
60,1,"1900-01-01 00:00:00","2199-12-31 23:59:59",24030002,287162,178,"5500020100030","12264248000149"
61,1,"1900-01-01 00:00:00","2199-12-31 23:59:59",20420001,287183,179,"5500020100031","3501509000106"
62,1,"1900-01-01 00:00:00","2199-12-31 23:59:59",24030002,287368,178,"5500020100030","12264230000147"
63,1,"1900-01-01 00:00:00","2199-12-31 23:59:59",24250002,287396,133,"5500020100030","4012548000102"
64,1,"1900-01-01 00:00:00","2199-12-31 23:59:59",23220001,287772,189,"5500020100030","63606479000124"
65,1,"1900-01-01 00:00:00","2199-12-31 23:59:59",33500003,287923,151,"2200020100073","1105626000125"
66,1,"1900-01-01 00:00:00","2199-12-31 23:59:59",29080003,288018,190,"2200020100089","13119300000136"
67,1,"1900-01-01 00:00:00","2199-12-31 23:59:59",20330002,288200,97,"2200020100083","8355760000123"
68,1,"1900-01-01 00:00:00","2199-12-31 23:59:59",24090017,288301,71,"5320320100013","8168940000104"
69,1,"1900-01-01 00:00:00","2199-12-31 23:59:59",20480004,288501,121,"2200020100085","63762033000199"
70,1,"1900-01-01 00:00:00","2199-12-31 23:59:59",20480003,288823,121,"2060320100009","5903125000145"
71,1,"1900-01-01 00:00:00","2199-12-31 23:59:59",12970007,289274,196,"5500020100030","8642138000104"
72,1,"1900-01-01 00:00:00","2199-12-31 23:59:59",13310008,289905,201,"2200020100060","14195358000121"
73,1,"1900-01-01 00:00:00","2199-12-31 23:59:59",35230001,290024,203,"2220320100078","1612575000128"
74,1,"1900-01-01 00:00:00","2199-12-31 23:59:59",14780006,290334,69,"2200020100073","1612756000154"
75,1,"1900-01-01 00:00:00","2199-12-31 23:59:59",24530001,290617,204,"2200020100080","10091551000161"
