5364,0,789,0,327,"2017-11-30 00:00:00",\N,\N,\N,\N,\N,\N,\N
64,1391,2569,1299,23,"2011-12-30 00:00:00",\N,\N,\N,\N,\N,\N,\N
643,9643,5289,9774,432,"2013-08-13 00:00:00",\N,\N,\N,\N,\N,\N,\N
1697,0,2798,0,44,"2013-12-31 00:00:00",\N,\N,\N,\N,\N,\N,\N
4860,0,5283,7467,426,"2017-10-18 00:00:00",\N,\N,\N,\N,\N,\N,\N
5194,0,1254,0,524,"2017-12-27 00:00:00",\N,\N,\N,\N,\N,\N,\N
4892,0,5226,0,236,"2017-12-07 00:00:00",\N,\N,\N,\N,\N,\N,\N
1246,0,2704,538,227,"2013-12-30 00:00:00",\N,\N,\N,\N,\N,\N,\N
5763,0,4335,0,498,"2019-12-27 00:00:00",\N,\N,\N,\N,\N,\N,\N
5093,0,612,0,14,"2017-05-24 00:00:00",\N,\N,\N,\N,\N,\N,\N
3729,0,15,0,250,"2016-10-10 00:00:00",\N,\N,\N,\N,\N,\N,\N
1932,0,5287,7467,426,"2013-12-31 00:00:00",\N,\N,\N,\N,\N,\N,\N
5567,0,3453,0,558,"2017-12-06 00:00:00",\N,\N,\N,\N,\N,\N,\N
1479,9580,2807,4749,389,"2013-12-31 00:00:00",\N,\N,\N,\N,\N,\N,\N
4665,0,935,1229,233,"2016-12-13 00:00:00",\N,\N,\N,\N,\N,\N,\N
4650,0,2699,0,512,"2016-12-21 00:00:00",\N,\N,\N,\N,\N,\N,\N
5603,0,638,2297,200,"2017-10-24 00:00:00",\N,\N,\N,\N,\N,\N,\N
3216,0,2389,3,5,"2015-12-01 00:00:00",\N,\N,\N,\N,\N,\N,\N
5653,0,2957,0,609,"2017-07-31 00:00:00",\N,\N,\N,\N,\N,\N,\N
791,9608,2565,4997,411,"2013-11-06 00:00:00",\N,\N,\N,\N,\N,\N,\N
2303,0,3677,3005,262,"2014-10-15 00:00:00",\N,\N,\N,\N,\N,\N,\N
4975,0,5278,0,618,"2017-12-07 00:00:00",\N,\N,\N,\N,\N,\N,\N
567,9449,5278,8749,101,"2013-12-17 00:00:00",\N,\N,\N,\N,\N,\N,\N
1115,0,561,0,233,"2013-11-05 00:00:00",\N,\N,\N,\N,\N,\N,\N
2591,0,3823,8236,317,"2014-09-12 00:00:00",\N,\N,\N,\N,\N,\N,\N
3484,0,2804,0,19,"2016-12-20 00:00:00",\N,\N,\N,\N,\N,\N,\N
4739,0,3668,0,639,"2016-12-20 00:00:00",\N,\N,\N,\N,\N,\N,\N
5418,0,3275,0,571,"2017-10-13 00:00:00",\N,\N,\N,\N,\N,\N,\N
4802,0,5310,8726,390,"2016-12-30 00:00:00",\N,\N,\N,\N,\N,\N,\N
328,7477,4546,5100,382,"2014-04-09 00:00:00",\N,\N,\N,\N,\N,\N,\N
877,9103,4617,7218,87,"2013-11-21 00:00:00",\N,\N,\N,\N,\N,\N,\N
4585,0,5348,0,600,"2016-12-27 00:00:00",\N,\N,\N,\N,\N,\N,\N
134,3779,799,3094,319,"2011-12-30 00:00:00",\N,\N,\N,\N,\N,\N,\N
760,9245,776,2190,222,"2013-11-06 00:00:00",\N,\N,\N,\N,\N,\N,\N
2107,0,397,7942,6,"2014-12-23 00:00:00",\N,\N,\N,\N,\N,\N,\N
383,6735,5610,100,108,"2012-12-27 00:00:00",\N,\N,\N,\N,\N,\N,\N
4101,0,866,2303,200,"2016-05-27 00:00:00",\N,\N,\N,\N,\N,\N,\N
2846,0,1725,0,310,"2014-12-18 00:00:00",\N,\N,\N,\N,\N,\N,\N
2699,0,4850,974,12,"2014-10-09 00:00:00",\N,\N,\N,\N,\N,\N,\N
4824,0,391,0,650,"2016-12-30 00:00:00",\N,\N,\N,\N,\N,\N,\N
5782,0,5568,0,220,"2022-06-06 00:00:00",\N,\N,\N,\N,\N,\N,\N
1875,0,5233,0,454,"2013-12-27 00:00:00",\N,\N,\N,\N,\N,\N,\N
3062,0,5125,0,19,"2015-12-22 00:00:00",\N,\N,\N,\N,\N,\N,\N
3357,0,4722,0,83,"2015-12-28 00:00:00",\N,\N,\N,\N,\N,\N,\N
1993,0,3,4643,397,"2014-11-21 00:00:00",\N,\N,\N,\N,\N,\N,\N
2853,0,5222,0,47,"2014-12-29 00:00:00",\N,\N,\N,\N,\N,\N,\N
2905,0,5222,0,197,"2015-10-22 00:00:00",\N,\N,\N,\N,\N,\N,\N
936,0,656,7323,403,"2013-12-30 00:00:00",\N,\N,\N,\N,\N,\N,\N
1317,0,4086,3386,317,"2013-12-30 00:00:00",\N,\N,\N,\N,\N,\N,\N
1019,8628,2757,3,5,"2013-12-20 00:00:00",\N,\N,\N,\N,\N,\N,\N
